,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test,dataset_size,group,prot_length
24,TPMT HUMAN,mean,esm1v_650M,5,118,0.3692262149449368,0.2228102536623767,0.2960952564387336,0.5844963154685711,0.3635322904863841,0.2342188590156007,0.3089544985644206,0.5626794927946658,3984,Protein stability,245
25,BLAT ECOLX 2012,mean,esm1v_650M,1,35,0.2434522881234159,1.1823823890398584,1.3970351841333792,0.5422436989200182,0.2097156070274664,1.1849016030435269,1.408613133015615,0.4969708705738493,5259,Growth,286
26,BLAT ECOLX 2012,mean,esm1v_650M,2,34,0.2433451248879947,1.1847802539688472,1.40003589166926,0.5466600437067798,0.2229354902174667,1.1664699191924224,1.385158616805736,0.5034568105885066,5259,Growth,286
27,BLAT ECOLX 2012,mean,esm1v_650M,3,39,0.2431667045613476,1.171146363020788,1.390183919640004,0.5410729841255228,0.2242928083298909,1.2082761407064913,1.421689535232471,0.533964151765975,5259,Growth,286
28,BLAT ECOLX 2012,mean,esm1v_650M,4,34,0.2289535013958528,1.1853808189370387,1.40344910356988,0.5271997863881033,0.2327178153298379,1.2028432148710155,1.417014148590782,0.5446280627387841,5259,Growth,286
29,BLAT ECOLX 2012,mean,esm1v_650M,5,32,0.2264781480581198,1.1897411797605868,1.4061112419845645,0.529774944886183,0.2291666405875553,1.1992852355699162,1.4188399410914725,0.5252902809483987,5259,Growth,286
30,YAP1 singles,mean,esm1v_650M,1,106,0.8131713840152687,0.1931778021052598,0.2616287943386109,0.906795629002108,0.4525887221726024,0.2997126024281262,0.3811881849093138,0.7255337529310133,362,Peptide binding,504
31,YAP1 singles,mean,esm1v_650M,2,60,0.6790555720049387,0.2521226012737588,0.3404039100253377,0.8434385315992523,0.6714018818857401,0.2395880965633185,0.3085555059329889,0.8007836603727017,362,Peptide binding,504
32,YAP1 singles,mean,esm1v_650M,3,62,0.7486092685309549,0.2206516442584336,0.2923928990951172,0.8698258333466591,0.3441028008693721,0.3325737433572362,0.4947938477171924,0.6212939738889962,362,Peptide binding,504
33,YAP1 singles,mean,esm1v_650M,4,58,0.7065546881869444,0.2253245290194432,0.3003619276310861,0.8669671335630298,0.4459429513799604,0.3965938279478476,0.5259818968472474,0.6431281754453663,362,Peptide binding,504
34,YAP1 singles,mean,esm1v_650M,5,80,0.7902999052486607,0.2003970107853237,0.2738542948102054,0.8968663779265078,0.4090359120973351,0.3104696831442088,0.4145228579187006,0.6751559585825456,362,Peptide binding,504
35,UBC9 HUMAN,mean,esm1v_650M,1,412,0.6637024994278724,0.2182793501586782,0.2914826938987301,0.8235595905235783,0.4118307550663154,0.2792395044099812,0.3791235038628679,0.6918161296421691,2721,Growth,158
36,UBC9 HUMAN,mean,esm1v_650M,2,279,0.6030736492254939,0.2367246356962309,0.3166980828923299,0.7936035377289916,0.3795405138588087,0.2828791893470274,0.3890995873112692,0.6526199931077735,2721,Growth,158
37,UBC9 HUMAN,mean,esm1v_650M,3,153,0.4936563755877431,0.2669677123164413,0.3566400998577481,0.7400522517612566,0.3910105849361737,0.2940980530651488,0.3903016405525656,0.6818549467212238,2721,Growth,158
38,UBC9 HUMAN,mean,esm1v_650M,4,194,0.5118060400611223,0.2644494880034941,0.3539457216347097,0.7528157939518667,0.4601152048885329,0.2720782467741119,0.3511369966361131,0.7103761053304327,2721,Growth,158
39,UBC9 HUMAN,mean,esm1v_650M,5,357,0.633133872421378,0.222013228570192,0.2978302596242755,0.8159082369948725,0.3463028448223249,0.3063221397709983,0.4337519691816637,0.6754422151700281,2721,Growth,158
