,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test,dataset_size,group,prot_length
0,DLG4 RAT,mean,esm1v_650M,1,107,0.6062985290771825,0.16797796354194,0.2474193937048487,0.6786172111222921,0.5173062079212812,0.1976661363926126,0.2863601613467301,0.6121903214455083,1659,Peptide binding,724
1,DLG4 RAT,mean,esm1v_650M,2,142,0.6543921510706336,0.1579941950315359,0.2302578957615392,0.7013707966539713,0.5864085090663622,0.184295380296206,0.2710599620469394,0.6687173518108477,1659,Peptide binding,724
2,DLG4 RAT,mean,esm1v_650M,3,66,0.4930722863403348,0.1969383341420054,0.2873467915717738,0.6225925549025421,0.4450582416224664,0.2012640961281307,0.2781979884615026,0.5325986001811347,1659,Peptide binding,724
3,DLG4 RAT,mean,esm1v_650M,4,75,0.5329848469983842,0.1835464990009038,0.2677714897042498,0.6165742285095864,0.430551946386241,0.2071925702596308,0.3176531371275846,0.6115725190245327,1659,Peptide binding,724
4,DLG4 RAT,mean,esm1v_650M,5,106,0.6199235619832786,0.1746897801355054,0.2515579362015491,0.6844313237204764,0.5142050764873454,0.1665214472124334,0.2463268578447589,0.655470933583232,1659,Peptide binding,724
5,RL401 2013,mean,esm1v_650M,1,160,0.7421902464965793,0.123245478477384,0.1676897885179667,0.8254578704873066,0.5684417700872607,0.1727287736980933,0.2462581505867689,0.7813843225456428,1269,Growth,128
6,RL401 2013,mean,esm1v_650M,2,47,0.5085839385852513,0.1853018552414302,0.2400081773294216,0.6997003850754363,0.3859597427062503,0.2004941326426708,0.260859262259621,0.6084661857492863,1269,Growth,128
7,RL401 2013,mean,esm1v_650M,3,33,0.4465078433128496,0.2034462719537648,0.2586125787658477,0.6832921835471961,0.4231775741865491,0.1937513435913587,0.2338505244634005,0.6018170604216977,1269,Growth,128
8,RL401 2013,mean,esm1v_650M,4,20,0.3610827581026219,0.2186527317053285,0.275039263010502,0.5861616721092313,0.3258095513421801,0.2159995102530389,0.2674139540546515,0.5505183149367279,1269,Growth,128
9,RL401 2013,mean,esm1v_650M,5,148,0.7131730835703305,0.1320002015905938,0.1808881208009624,0.830256165260883,0.6201893960343208,0.1577995844049887,0.2164661009208187,0.7979657935050751,1269,Growth,128
10,B3VI55 LIPSTSTABLE,mean,esm1v_650M,1,104,0.352895902827793,0.3370463771570879,0.4153001562779497,0.6527112667328145,0.3583938647772423,0.3364740282952857,0.4137977187304203,0.6617700960583993,8329,Growth,447
11,B3VI55 LIPSTSTABLE,mean,esm1v_650M,2,79,0.3230001006860589,0.3451190760978185,0.4234714618360583,0.6328269500207825,0.3378869308374095,0.3441581701035402,0.4258198328928492,0.6515951730934,8329,Growth,447
12,B3VI55 LIPSTSTABLE,mean,esm1v_650M,3,117,0.3672491805282986,0.3319804011033602,0.4095853018582718,0.6620398245811386,0.3343997374329774,0.3454011914474194,0.4262478934036827,0.6356918003130874,8329,Growth,447
13,B3VI55 LIPSTSTABLE,mean,esm1v_650M,4,149,0.4099895924045105,0.32042810352843,0.3980892503143139,0.6881063601873938,0.3597250216387523,0.3295702182508745,0.4073002024878598,0.6440562296557204,8329,Growth,447
14,B3VI55 LIPSTSTABLE,mean,esm1v_650M,5,141,0.4009202484355724,0.3231317260930947,0.4009157458188509,0.6812060592380912,0.3507446864950182,0.3329670312436995,0.4109035180415431,0.6455618005731971,8329,Growth,447
15,RL401 2014,mean,esm1v_650M,1,12,0.2364956188512911,0.2842976437721933,0.3596667865812996,0.5066726481698643,0.2398285669532759,0.2723971181630257,0.3327296722925639,0.5303347997685747,1435,Other,128
16,RL401 2014,mean,esm1v_650M,2,10,0.233491331461747,0.2864880627404107,0.358577292333277,0.5153056151967041,0.2001674626188692,0.2774052071072914,0.3482689889896366,0.4747715665066698,1435,Other,128
17,RL401 2014,mean,esm1v_650M,3,13,0.2442488517988349,0.2803536272651227,0.3537971028567926,0.510370740712201,0.2752742195718631,0.2687458126013287,0.3416574235822268,0.5384460113384166,1435,Other,128
18,RL401 2014,mean,esm1v_650M,4,8,0.2081730775340781,0.2830249100425102,0.3549515642187973,0.4899563139378446,0.160758294113243,0.3045543454914558,0.3961259539622975,0.4176764898873332,1435,Other,128
19,RL401 2014,mean,esm1v_650M,5,9,0.2236328839758378,0.2778157884578256,0.3541557840387564,0.4888009989644955,0.1911084848140724,0.3016644429039041,0.3777807869677963,0.4528402130746375,1435,Other,128
20,TPMT HUMAN,mean,esm1v_650M,1,130,0.3870587018935115,0.2206558931741805,0.2931600350971725,0.5909203764556986,0.33354335211802,0.2354048482078255,0.3108542595398898,0.5472765642874157,3984,Protein stability,245
21,TPMT HUMAN,mean,esm1v_650M,2,154,0.4006046970127987,0.221633128564029,0.2952530746295167,0.5985733657064232,0.3609286553126722,0.2121427941497858,0.2816813998983656,0.5810527434225172,3984,Protein stability,245
22,TPMT HUMAN,mean,esm1v_650M,3,146,0.4036622113112057,0.2164818462146454,0.287140011791508,0.6050221197920693,0.3170414206100562,0.2372651085980037,0.3227525724462011,0.5389909112537542,3984,Protein stability,245
23,TPMT HUMAN,mean,esm1v_650M,4,131,0.3782526386796816,0.2237717197125355,0.2981798427647164,0.5867957847119424,0.3257708391275697,0.231550103465679,0.300138988395673,0.5133539946738382,3984,Protein stability,245
