,Dataset,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd
5,DLG4_RAT_Ranganathan2012,Lasso,6,0.8408297195048847,0.1160841794767873,0.1598364220665402,0.5013277345034288,0.1868335164056525,0.2629106931785655,0.7786775575117353,0.5389506132469823,497,sigmoid2
6,DLG4_RAT_Ranganathan2012,Lasso,7,0.8323498721395334,0.1168500014153699,0.1609103306073184,0.6112053966472191,0.1901297974837797,0.2732673984656116,0.7662911163866257,0.6924198451517136,502,sigmoid2
7,DLG4_RAT_Ranganathan2012,Lasso,8,0.8362112801696737,0.1169440264056641,0.1608863607968054,0.5839237652658608,0.1848941133893024,0.2593260456428875,0.7642796107977546,0.6465216336221314,516,sigmoid2
8,DLG4_RAT_Ranganathan2012,Lasso,9,0.8416308854004494,0.1174336277378184,0.1618182255287486,0.3265385937631847,0.1767480075733497,0.2516921350060791,0.7718201925686287,0.6582611062503217,496,sigmoid2
9,DLG4_RAT_Ranganathan2012,Lasso,10,0.828440425287485,0.1190315076826156,0.1649921551541774,0.6591731551882076,0.1625348995067286,0.2302895871424396,0.7636315714100012,0.6391837677877684,509,sigmoid2
0,DLG4_RAT_Ranganathan2012,Lasso,1,0.8335473129429607,0.1174020702640199,0.1618084669625196,0.5587324699568021,0.1996377695768149,0.2721570759401016,0.7749535403530831,0.5307383043332831,521,sigmoid1
1,DLG4_RAT_Ranganathan2012,Lasso,2,0.835936789451778,0.1172349688587342,0.1604393815080086,0.5141618287771053,0.2126339608870743,0.2874063422470229,0.76103927183387,0.601673782919101,519,sigmoid1
2,DLG4_RAT_Ranganathan2012,Lasso,3,0.8476295150528417,0.1138575615852553,0.154191002780975,0.4041196266158964,0.2196127764011778,0.3250820194881247,0.7696553877150284,0.6390906882019963,530,sigmoid1
3,DLG4_RAT_Ranganathan2012,Lasso,4,0.8357614147980923,0.1165297569623593,0.1602358785530921,0.5455532901053557,0.2032457731061581,0.2835964045408763,0.7669208097076143,0.6215887753008633,508,sigmoid1
4,DLG4_RAT_Ranganathan2012,Lasso,5,0.836119664285497,0.1181440625937737,0.1620791913803381,0.488493089969059,0.1979989729543791,0.2678996840194161,0.7667454023528076,0.4944336226149952,523,sigmoid1
5,DLG4_RAT_Ranganathan2012,Lasso,6,0.8369638187474815,0.1176725850596675,0.1617658170905082,0.5231491527479131,0.1901645888662866,0.2570939886275235,0.7742813855004044,0.5399570669452415,513,sigmoid1
6,DLG4_RAT_Ranganathan2012,Lasso,7,0.8328022036779331,0.1171248329775965,0.1606931104379499,0.578717284465252,0.2055511052500346,0.2844556267260434,0.7610060564498237,0.670433513086141,511,sigmoid1
7,DLG4_RAT_Ranganathan2012,Lasso,8,0.8316960493195158,0.1187070844478309,0.1630888946197609,0.6317506423428285,0.1744150772421779,0.2439667728006799,0.7609988113122406,0.654722537400555,514,sigmoid1
8,DLG4_RAT_Ranganathan2012,Lasso,9,0.8405067327896569,0.118799006429577,0.162391527688767,0.2331993965050937,0.182400516591988,0.2685681522969386,0.7659387571688808,0.6204649424020298,521,sigmoid1
9,DLG4_RAT_Ranganathan2012,Lasso,10,0.827558837725488,0.1199704364686316,0.1654155318423514,0.6498873661696383,0.1631255023598632,0.23340561276374,0.7611968054135376,0.62764714800267,520,sigmoid1
0,DLG4_RAT_Ranganathan2012,Lasso,1,0.8369573020852612,0.1155592095297016,0.1601424670168577,0.5082633392736674,0.2015686107893335,0.2872995450004545,0.7754188846889969,0.5048579729915853,505,pca2
1,DLG4_RAT_Ranganathan2012,Lasso,2,0.8387024486918627,0.1163450368752322,0.1590813483250342,0.5228103360399902,0.206106765649687,0.284836765190537,0.7617188884089844,0.6236612033146465,505,pca2
2,DLG4_RAT_Ranganathan2012,Lasso,3,0.8507860377195727,0.1131516412562564,0.1525855261105637,0.3487599776356036,0.2242257563659824,0.3398473984226606,0.7679454750387062,0.6159372865380002,503,pca2
3,DLG4_RAT_Ranganathan2012,Lasso,4,0.8338819307482517,0.1177667862631865,0.1611501097614737,0.6197558471133722,0.1863316436613556,0.2594122681921112,0.7663803149803896,0.6468276897429032,501,pca2
4,DLG4_RAT_Ranganathan2012,Lasso,5,0.8370328885747729,0.1183440612841303,0.161626966793967,0.5412868948246247,0.1872259929787821,0.2536979878811072,0.7649893879236195,0.5184804780434129,506,pca2
5,DLG4_RAT_Ranganathan2012,Lasso,6,0.8408953740911198,0.1160530273741655,0.1598034539883041,0.5016318145220269,0.1868146881601219,0.2628305222075113,0.7789506166405761,0.5439456942466308,497,pca2
