Unnamed: 0,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd,Dataset
0,Lasso,1,0.5330511180930737,0.6787296600129654,0.78604943590254,0.4661746906721387,0.7231608823553486,0.8446016780989982,0.7945729632142495,0.7413725861985014,174,pca1,BLAT ECOLX 2015
1,Lasso,2,0.6065759868686058,0.6159840411000955,0.725285714088332,0.5540176037242022,0.6438907931597212,0.756086353784799,0.8246625708192794,0.7881392736174001,260,pca1,BLAT ECOLX 2015
2,Lasso,3,0.5926864146968073,0.6258281884531872,0.7344044195471504,0.5506706234079624,0.66114154671666,0.7739647556510627,0.818898758295524,0.7897884498356263,241,pca1,BLAT ECOLX 2015
3,Lasso,4,0.6148391232696038,0.6076409037515442,0.7164933459031028,0.5476098349607961,0.6498466564802442,0.7661225316261718,0.8302298769153589,0.7759538040618069,279,pca1,BLAT ECOLX 2015
4,Lasso,5,0.5129920080358616,0.691177028408219,0.7995220833259105,0.4751495278912324,0.7349138948051127,0.8501394726347211,0.7863306283692675,0.7603203843459134,173,pca1,BLAT ECOLX 2015
0,Lasso,1,0.587927853885295,0.6272068872534821,0.7384172272506393,0.5098607245961957,0.6830557880810962,0.8093047921188125,0.8128514508869431,0.7543489824449499,211,maxPool,BLAT ECOLX 2015
1,Lasso,2,0.6236060163286604,0.5973663061335124,0.7094144457280718,0.5802983677170972,0.6175467618232153,0.7334708702872691,0.8264655918659535,0.8040475252817751,261,maxPool,BLAT ECOLX 2015
2,Lasso,3,0.5128799047750093,0.689721339616505,0.803135562915298,0.5020083734102803,0.7025073223373132,0.8147977069835579,0.7809889707983196,0.7680467856087995,158,maxPool,BLAT ECOLX 2015
3,Lasso,4,0.5759838213524756,0.6378763544660269,0.7517653282887473,0.5241419926544797,0.6689680855011193,0.7857426885556015,0.8092743232807486,0.7671060299040153,200,maxPool,BLAT ECOLX 2015
4,Lasso,5,0.6027796887341924,0.6112652145488581,0.7220680741884834,0.538814629154879,0.6682556782489282,0.7969115962865584,0.8201332792784858,0.7779857228857164,230,maxPool,BLAT ECOLX 2015
0,Lasso,1,0.2709824136741819,0.8662394909487526,0.98216441029462,0.241439054138426,0.8904470999992135,1.0068101832834655,0.5632238858836128,0.5162585042585043,107,sigmoid2,BLAT ECOLX 2015
1,Lasso,2,0.2915467581932542,0.853923958132583,0.973272129568614,0.2336059184157938,0.8693186208777548,0.9911482364816088,0.5772298925615146,0.4925029487955066,106,sigmoid2,BLAT ECOLX 2015
2,Lasso,3,0.2644060813181235,0.8716071129307847,0.9869380639525844,0.2387955099364977,0.8894925704947884,1.0073710099241655,0.5612895828769892,0.5326218202170104,104,sigmoid2,BLAT ECOLX 2015
3,Lasso,4,0.3019128607436648,0.8462365107451407,0.964596977408785,0.2472017349873058,0.8629046085574966,0.9882821752429202,0.5868327307661532,0.5194410442506634,112,sigmoid2,BLAT ECOLX 2015
4,Lasso,5,0.2783847404058038,0.8548305624727223,0.9732295208486492,0.2503629804882352,0.8947263092975026,1.0160098019457058,0.5653448734729011,0.5419212840094603,102,sigmoid2,BLAT ECOLX 2015
0,Lasso,1,0.0,1.0539683880785249,1.150310781863409,-0.0009288621498593,1.059068316666102,1.1565221795829113,,,0,iDCT1,BLAT ECOLX 2015
1,Lasso,2,0.0,1.059562023996394,1.1563217408828612,-2.029528939351266e-05,1.0360739481558687,1.1321838313551664,,,0,iDCT1,BLAT ECOLX 2015
2,Lasso,3,0.0,1.0535231352123764,1.150723106902276,-0.0003446932407031,1.0597043826338943,1.1548181851989858,,,0,iDCT1,BLAT ECOLX 2015
3,Lasso,4,0.0,1.0588220379049784,1.154492399550722,-0.0012718584490871,1.03976612346814,1.1397711576312817,,,0,iDCT1,BLAT ECOLX 2015
4,Lasso,5,0.0,1.048160616530562,1.145677593911821,-0.0025746902170298,1.080415861444853,1.1749807555174576,,,0,iDCT1,BLAT ECOLX 2015
0,Lasso,1,0.4611961251700004,0.7227349291168486,0.8443656273140072,0.4116752640312499,0.7560327088997942,0.8866677531232023,0.7324203710517747,0.6929859830649411,160,rbf2,BLAT ECOLX 2015
1,Lasso,2,0.5757161863693607,0.6224976238184812,0.7531941238075126,0.4966203139278033,0.6637338014024634,0.8032678483789183,0.7850268489163654,0.7381531674103557,250,rbf2,BLAT ECOLX 2015
2,Lasso,3,0.5350541646590741,0.6577421349372422,0.7846428379200169,0.4900359775777495,0.6867324637159303,0.8245339587361091,0.7696529927401369,0.7319452719252317,218,rbf2,BLAT ECOLX 2015
3,Lasso,4,0.2252443311014945,0.9125120085159394,1.016186589958913,0.1908471114638961,0.9148521351473052,1.0246061353834728,0.5761567992526444,0.5087421208783933,41,rbf2,BLAT ECOLX 2015
4,Lasso,5,0.5183705964804735,0.6689761292707321,0.7950948053147503,0.4762903801243537,0.7147332012531434,0.8492150082463888,0.7588539164623164,0.732179108968688,218,rbf2,BLAT ECOLX 2015
0,Lasso,1,0.5465430795721962,0.6530204182694797,0.7746101931245792,0.5216387154867634,0.6748369996588391,0.799521913456891,0.7782140346456822,0.7582652233480838,134,bos,BLAT ECOLX 2015
1,Lasso,2,0.5821823936222597,0.6239933927072114,0.7474326404088496,0.5595059017732207,0.6334162301279095,0.7514197202190852,0.7946633245688123,0.7816251413049761,154,bos,BLAT ECOLX 2015
