,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_methd,Dataset
2,Lasso,3,0.8805632391059391,0.1637225809287542,0.2105553015180942,0.7476598684215539,0.2205143621603273,0.2895929176780319,0.9171172678042449,0.8512770043535016,497,mean,TIM_THETH
3,Lasso,4,0.881573578053528,0.1618044448840857,0.2080222375181999,0.7223973923550133,0.2576575837104706,0.3258712300769952,0.9184122935903904,0.8230270846574947,476,mean,TIM_THETH
4,Lasso,5,0.8831720329579188,0.1609422839531102,0.2083031182060912,0.6704321608616391,0.2648154968959529,0.3285301939623609,0.9189326006763588,0.8082887389881013,481,mean,TIM_THETH
5,Lasso,6,0.8864495038859319,0.1592240334415668,0.2046104202088973,0.6725256862360238,0.2600371578247546,0.3405528605893406,0.9225874807665768,0.7923646279703933,491,mean,TIM_THETH
6,Lasso,7,0.8832779695729901,0.1618909742016164,0.2080549889307736,0.7572671992492547,0.223895563873171,0.2859493087778098,0.9190651319428972,0.8771861480737293,483,mean,TIM_THETH
7,Lasso,8,0.8874412588703257,0.1568047968268757,0.2033361082496258,0.6417816729231418,0.2862578711492056,0.3631193618717047,0.9229235470076664,0.8111728483655575,480,mean,TIM_THETH
8,Lasso,9,0.8835760527347968,0.159228817459173,0.2061349598380578,0.7527036551346806,0.2529690300370854,0.309883115622555,0.9178532547383051,0.8652977398697367,486,mean,TIM_THETH
9,Lasso,10,0.8872411332068926,0.1574993346161182,0.2034041113407559,0.7083449757587186,0.2573624997465053,0.3261163197634418,0.920072664053513,0.8341861275705821,486,mean,TIM_THETH
0,Lasso,1,0.8905901415650783,0.1524921946983368,0.1992482440836478,0.6898838919642196,0.2769082432740886,0.356118555928138,0.9270164571879644,0.8267654918363301,559,iDCT2,TIM_THETH
1,Lasso,2,0.8889143245835153,0.1550065700581942,0.2012564346305935,0.7084813530794452,0.246462464865102,0.3309131917643862,0.9247023212523288,0.8198593484099809,561,iDCT2,TIM_THETH
2,Lasso,3,0.8913046062008295,0.1563395263227165,0.2008642939834572,0.7320204701439303,0.2163349644252162,0.2984321339239243,0.9271897469188723,0.8519160191089331,563,iDCT2,TIM_THETH
3,Lasso,4,0.8871169742064301,0.1557901224463331,0.2030952566336818,0.7221032384084807,0.2533103919727624,0.326043834595686,0.9250781338729576,0.8249167913941455,553,iDCT2,TIM_THETH
4,Lasso,5,0.886534265615987,0.1569414510150231,0.2052838223695809,0.6793021569211464,0.2564426499598986,0.3240790054125134,0.9245030395503904,0.8242231015794258,558,iDCT2,TIM_THETH
5,Lasso,6,0.8924373436695932,0.1526680098592746,0.1991425155067283,0.6316004653798379,0.2805562625264907,0.3612064099894309,0.9292334232152778,0.759672359707215,552,iDCT2,TIM_THETH
6,Lasso,7,0.8913343566971877,0.1543453914039047,0.2007464366200805,0.689802423021084,0.2537026276616566,0.3232540822587533,0.926271206588601,0.8490489956875047,534,iDCT2,TIM_THETH
7,Lasso,8,0.8925252919339401,0.1528107890147855,0.198690924514006,0.6186109061256495,0.2964026566888179,0.3746792487683449,0.9273089202027384,0.8028622393537407,542,iDCT2,TIM_THETH
8,Lasso,9,0.88860097241428,0.1536007504003519,0.2016374484210993,0.7023990813634617,0.2785389739930518,0.3399430752164291,0.926550182902663,0.831552976715259,552,iDCT2,TIM_THETH
9,Lasso,10,0.8927366897365654,0.1509457945617944,0.1983855214886117,0.6892405079455936,0.2629771130922433,0.3366278187271396,0.9270727297097644,0.8247228999651446,543,iDCT2,TIM_THETH
0,Lasso,1,0.8636192461400614,0.1007170835148391,0.1343775592480256,0.614453200307183,0.1705306870788517,0.2278805062598773,0.909818770559756,0.7993569280687218,360,iDCT,PABP_singles
1,Lasso,2,0.8670016267089145,0.0997159160728308,0.1336482222489782,0.6706065037693502,0.1578386645832809,0.1962371265761324,0.9145158560402722,0.7961971229169635,377,iDCT,PABP_singles
2,Lasso,3,0.8615673220931878,0.1010759575304384,0.1355516081132006,0.6960020529152633,0.1545918723131704,0.1994162152518192,0.906192708841569,0.822886381724673,379,iDCT,PABP_singles
3,Lasso,4,0.8754222726273991,0.099468898224161,0.1265203943661236,0.5476498527450333,0.1736886821493642,0.2731425647749505,0.9097803129136142,0.7463110667996014,370,iDCT,PABP_singles
4,Lasso,5,0.8591105329948109,0.1024491067368434,0.136560306267797,0.7156555270263134,0.1478114898908495,0.1951251534212054,0.9072306861244316,0.8153824241561032,389,iDCT,PABP_singles
5,Lasso,6,0.8560222970306746,0.1027979672754125,0.1369318978678208,0.7444583573655122,0.1481733262825178,0.1948824295400977,0.9046058719743698,0.8353795755590373,374,iDCT,PABP_singles
6,Lasso,7,0.8647790802464068,0.1002548364895783,0.134748237611007,0.6778628654632868,0.1563686448820418,0.1944641687666735,0.912870103808809,0.767625694345535,359,iDCT,PABP_singles
7,Lasso,8,0.863209978914727,0.1013630836292847,0.1354860345044479,0.6754050312606357,0.1502925198412641,0.1956191350790176,0.9106445496059566,0.7681753274973615,395,iDCT,PABP_singles
8,Lasso,9,0.8647099947198724,0.1007016902488627,0.1347357994002873,0.5861504102267672,0.1651784903374641,0.2182252525771081,0.9098162458211252,0.7249204766652424,368,iDCT,PABP_singles
9,Lasso,10,0.858821580193033,0.1020044897016463,0.1370252022500093,0.7190014715690441,0.1520159748673767,0.190694151763133,0.909508490810399,0.7889700860787602,361,iDCT,PABP_singles
0,Lasso,1,0.8485904898751822,0.1048428723173846,0.1415881092773985,0.6453492586491919,0.1628215449829496,0.2185591839063367,0.9036833173150812,0.773224564209608,326,mean,PABP_singles
1,Lasso,2,0.8552200820125231,0.1029787426309848,0.1394421867595192,0.6486128793868617,0.1524302911427424,0.2026826555165308,0.9103732647739146,0.7906281156530409,350,mean,PABP_singles
2,Lasso,3,0.8475023969526665,0.1040047733031149,0.1422711601098637,0.739042229959821,0.1480680135359488,0.1847609813557243,0.901190302606758,0.8612855385385011,341,mean,PABP_singles
3,Lasso,4,0.866239720724973,0.1013947361937349,0.131100370308679,0.4898197410853837,0.1886171761036376,0.2900773638296158,0.9052829628145528,0.7409841902862842,341,mean,PABP_singles
4,Lasso,5,0.8430101769543883,0.1066489517782076,0.1441520984895122,0.7273386325590183,0.149642949943949,0.1910744711748766,0.9021920981911268,0.8398946019085602,341,mean,PABP_singles
5,Lasso,6,0.8451766155055541,0.1060132166048686,0.1419957303253442,0.758937351836696,0.1472197848433013,0.1892809058481401,0.9035436493893568,0.8492451217775248,342,mean,PABP_singles
6,Lasso,7,0.8482190374316259,0.1054132172918799,0.1427610725979588,0.7329733323044998,0.1438353202666127,0.1770502376354722,0.9054213604731182,0.7956131605184448,329,mean,PABP_singles
7,Lasso,8,0.8489957755245461,0.1049604023485941,0.1423514424135109,0.655708270939019,0.1574598142958524,0.2014669154652899,0.905764070638729,0.7549330031882375,343,mean,PABP_singles
8,Lasso,9,0.8533837553927351,0.1042451643592896,0.1402623762635864,0.624596046070441,0.1583864314247935,0.2078419276020445,0.9076922391195212,0.7213706864753725,356,mean,PABP_singles
9,Lasso,10,0.8474241827069768,0.1054003691523927,0.1424489150992558,0.7084544871200035,0.1481328623215568,0.1942399386855667,0.9043103229902448,0.7894521563514585,335,mean,PABP_singles
0,Lasso,1,0.8734888565540114,0.0960617112372319,0.1294239337370752,0.6452142432891537,0.1661925702092004,0.218600782633617,0.913296118224964,0.7731569099088417,376,iDCT2,PABP_singles
1,Lasso,2,0.8771557441921018,0.0952489156199355,0.1284450726015061,0.6370134996238396,0.1631788608354229,0.206000798105607,0.9181174902191732,0.8042372881355934,391,iDCT2,PABP_singles
2,Lasso,3,0.8739895634592973,0.0957681444153864,0.1293268269260515,0.6749064857902174,0.1620510849997495,0.2062192944506009,0.9131493864321628,0.8183036930359306,390,iDCT2,PABP_singles
3,Lasso,4,0.8837868895417011,0.0956537257233475,0.1221990691336026,0.561443292043043,0.1752966110353525,0.2689458790373841,0.9141576320172934,0.7553838484546361,389,iDCT2,PABP_singles
4,Lasso,5,0.8692835013462434,0.0973080202329155,0.1315377540628819,0.7372728517136431,0.1461196378706939,0.1875613448353276,0.9135471042346284,0.8459905996296825,398,iDCT2,PABP_singles
5,Lasso,6,0.8678528943164276,0.0970175395251997,0.1311855000329931,0.7648270804963925,0.1451149221934783,0.1869543176359779,0.9130974319262832,0.8461615154536392,399,iDCT2,PABP_singles
6,Lasso,7,0.8725280730370238,0.0964219583224138,0.130830326851864,0.691242130494063,0.1519772923071178,0.1903830209099967,0.9154691023951892,0.7710796182879932,407,iDCT2,PABP_singles
7,Lasso,8,0.8735458918053,0.0965636295548822,0.1302668150581815,0.6863542799878581,0.1459887023413319,0.1922915168024542,0.9170562826924396,0.759271635642523,390,iDCT2,PABP_singles
8,Lasso,9,0.8756921086313426,0.0966205138270784,0.1291515124296344,0.6166315886222702,0.1526794683326334,0.2100351120997589,0.9182368347912554,0.7521428388826196,383,iDCT2,PABP_singles
9,Lasso,10,0.8693509875957164,0.0975248129346226,0.1318163734392767,0.7473798915118992,0.1424709717551009,0.1808086943671092,0.9147511130645436,0.7909202794546764,381,iDCT2,PABP_singles
0,Lasso,1,0.869768640870078,0.1070052614441036,0.1475950341751076,0.7232552698599308,0.1474427322877777,0.1974877283869089,0.8016015923513887,0.7328911865253093,419,iDCT,RL401_2014
1,Lasso,2,0.8692684192775195,0.1067996081596746,0.1475092346828615,0.6947002253201149,0.1571548181192742,0.2134735591187498,0.8047835135587343,0.7080290816635544,407,iDCT,RL401_2014
2,Lasso,3,0.8743695209940779,0.1050190058454444,0.1442760917004646,0.6884540798444698,0.152216333862808,0.2200896167929679,0.8057717078146899,0.677821229892213,421,iDCT,RL401_2014
3,Lasso,4,0.8730483603958812,0.105249286938046,0.1454050541685526,0.6666742861773776,0.1521321369873153,0.2213451089371191,0.8120405711470393,0.6658168650010827,391,iDCT,RL401_2014
4,Lasso,5,0.8720040916291918,0.1053963310574488,0.1448290236344081,0.6162164494774643,0.1779097306562794,0.2555749038445403,0.8005056386343916,0.763322843651312,400,iDCT,RL401_2014
5,Lasso,6,0.8723109111249358,0.10653357159058,0.1457141684885581,0.6714302303090687,0.1576528436070555,0.2212088451928968,0.807044246757453,0.6572588542020397,425,iDCT,RL401_2014
6,Lasso,7,0.8693455381576071,0.1050168407904474,0.1446564294690155,0.6520669466414731,0.177676766327211,0.2670958961904167,0.8039999177043642,0.7466446065897425,411,iDCT,RL401_2014
7,Lasso,8,0.868296096638044,0.1067842733952283,0.1470657622964129,0.7450968097095816,0.1558368754136812,0.2076743305230704,0.8025775142478677,0.7614919103288391,424,iDCT,RL401_2014
8,Lasso,9,0.8688582941933563,0.1052980314559611,0.1459682973770203,0.7219812913793974,0.1693348493025853,0.2244931495517133,0.8051355885668713,0.7184702661404836,420,iDCT,RL401_2014
9,Lasso,10,0.86828218767455,0.1055312595232721,0.147018621715095,0.715062371501142,0.1603505188601834,0.2202940205104004,0.8073989801029037,0.7080237794389446,409,iDCT,RL401_2014
0,Lasso,1,0.8661501137560361,0.1079898749710883,0.1496314769296543,0.7064059473248488,0.1510720993909571,0.2034108250952542,0.7978979735846681,0.7412707992142538,414,mean,RL401_2014
1,Lasso,2,0.8676712744988975,0.1058152557656711,0.1484075578132968,0.7044223078004649,0.1605291678011417,0.2100470932805655,0.8044651014132786,0.7127553895736717,427,mean,RL401_2014
2,Lasso,3,0.8701747247387693,0.1054440186875075,0.146665000278104,0.6292546131266703,0.1626503164238399,0.2400912861055784,0.8021476347951975,0.6654084099974877,413,mean,RL401_2014
3,Lasso,4,0.8689083840459269,0.1064771847518075,0.1477569112474815,0.6369103281204846,0.1596472007864051,0.2310162174633315,0.8052552259273178,0.6726057714086005,419,mean,RL401_2014
4,Lasso,5,0.870171349755537,0.1046502102455549,0.1458622237971349,0.6649566411992709,0.1697696561449104,0.2387951680908293,0.794505427228765,0.7449476400847329,404,mean,RL401_2014
5,Lasso,6,0.8700252593439961,0.1059057123566928,0.1470125355824917,0.6726190454470922,0.1543427758617001,0.2208082990204598,0.8084145757246923,0.6773968581751626,421,mean,RL401_2014
6,Lasso,7,0.8671640229526996,0.1041704186529567,0.1458590819620327,0.6626924332185797,0.1782488463975333,0.2629858689088727,0.8053968099120501,0.6746527783668215,404,mean,RL401_2014
7,Lasso,8,0.8628333146147366,0.1072762403390356,0.150084753815068,0.7565889652677601,0.1560948889238851,0.2029389060093,0.7976124576254919,0.7626315854653767,427,mean,RL401_2014
8,Lasso,9,0.8658725249414724,0.1064288532494022,0.1476206123989529,0.7497997467708941,0.1566258716416526,0.2129658434005563,0.7952658164812717,0.789568100150027,418,mean,RL401_2014
9,Lasso,10,0.8637984897440163,0.1070583741482197,0.1494999522975932,0.7211762920242208,0.1600482967433396,0.2179177748403404,0.8004977339416273,0.7209445135662798,401,mean,RL401_2014
0,Lasso,1,0.8701442547361528,0.1046267596517396,0.1473820333522345,0.7022279246167316,0.1542496883206897,0.204853042458131,0.7997067629912136,0.7167818086620733,442,iDCT2,RL401_2014
1,Lasso,2,0.8687725792198243,0.1054686053190741,0.1477887071935305,0.6875584570078832,0.1577203270213471,0.2159559807070542,0.7957228385758365,0.6874163455908765,451,iDCT2,RL401_2014
2,Lasso,3,0.8729344232542895,0.1037145705014398,0.1450977965749433,0.644200643000129,0.1548702811284197,0.235202048286658,0.7992918261365469,0.6845496179245996,449,iDCT2,RL401_2014
3,Lasso,4,0.8738839395467757,0.1035930965197908,0.1449257456193025,0.6255730195857909,0.15795396151642,0.2345951820650814,0.8038593108782186,0.5736716459932947,440,iDCT2,RL401_2014
