,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test
0,RL401_YEAST_Bolon2013,mean,15B,1,54,0.5048348230962165,0.1758302163690181,0.2323977893624365,0.70860736809999,0.4367344831521894,0.2102220327671118,0.2813374159945976,0.6855683523597901
1,RL401_YEAST_Bolon2013,mean,15B,2,37,0.43867060404879,0.2019524289545754,0.2565135189219257,0.655044445581956,0.328437919735168,0.2114149784478615,0.2728041182092046,0.5662787735569874
2,RL401_YEAST_Bolon2013,mean,15B,3,78,0.5525622149407894,0.1751793338077996,0.2325199589380731,0.7380304472604139,0.488579183093402,0.1761418869481311,0.2201945069661582,0.658162043751643
3,RL401_YEAST_Bolon2013,mean,15B,4,66,0.5400721694510733,0.1754770539734751,0.2333550675183051,0.7242214472352099,0.5010336650983435,0.1778197617676314,0.230053259185436,0.6617736585974053
4,RL401_YEAST_Bolon2013,mean,15B,5,92,0.6042889113218695,0.1575334135002977,0.2124658842787303,0.7691648948955913,0.565557994630089,0.1659949446030756,0.2315113335197597,0.7748170341338371
0,PABP_YEAST_Fields2013_doubles,mean,150M,1,475,0.7588906680565182,0.1499330394132371,0.1923764046893195,0.8996149091487352,0.7453929685367804,0.152281047082005,0.1971392578849574,0.8923197767168516
1,PABP_YEAST_Fields2013_doubles,mean,150M,2,468,0.7580028499675534,0.1497809715744731,0.1923884191543602,0.8995814204166208,0.7494488661987482,0.1531279296579172,0.1968945139990158,0.892236358506263
2,PABP_YEAST_Fields2013_doubles,mean,150M,3,469,0.7568983858453285,0.1504426305949174,0.1926003437170431,0.8986674266374651,0.7532065728099278,0.1508124789033118,0.1963568018611033,0.8995931417333852
3,PABP_YEAST_Fields2013_doubles,mean,150M,4,483,0.7583075718951778,0.1497682547868577,0.1928414878507025,0.8980278542034407,0.7482807040781423,0.1535008761445429,0.1950362380093647,0.8988328880744816
4,PABP_YEAST_Fields2013_doubles,mean,150M,5,471,0.7581298137303599,0.150031064627071,0.1928165980440038,0.8991103804416469,0.749240412861078,0.1524440578254394,0.1950760913792344,0.8924136106069435
0,TIM_THETH,mean,15B,1,159,0.6828175357571782,0.2704899854313631,0.3374707188241092,0.8297489468918791,0.6147515777958215,0.3180818320750972,0.3907623144557689,0.7986892078662523
1,TIM_THETH,mean,15B,2,161,0.7018491580724394,0.2666402500338246,0.3318034012181144,0.8409609161151247,0.5868931247937097,0.2993087215709248,0.3843077169102832,0.7514023645557374
2,TIM_THETH,mean,15B,3,118,0.6612660628445172,0.2870186893134276,0.3555370365857102,0.824475282644107,0.5301411104672926,0.3259811644699936,0.4002269998443641,0.7106198583620226
3,TIM_THETH,mean,15B,4,140,0.6926547869577873,0.2698953581168993,0.3377249142274095,0.8326324604968939,0.6095724147529908,0.2954968226644345,0.3709879952084982,0.8010759531518294
4,TIM_THETH,mean,15B,5,87,0.5782858873269631,0.3226759592143884,0.3918653262284668,0.780682566229371,0.5332951492560863,0.3458028062018976,0.4212453828166426,0.7627489483001978
0,TIM_THETH,mean,8M,1,16,0.1440179282405206,0.4976904251860337,0.554388032218113,0.43745709910669,0.1326195759213314,0.5254723879612324,0.5863366576405866,0.4689556622040688
1,TIM_THETH,mean,8M,2,14,0.1349778411700755,0.5112412939504793,0.5651665241239503,0.4231362596772803,0.0899917152592687,0.5166024347944015,0.5703882452496694,0.3544313502626207
2,TIM_THETH,mean,8M,3,20,0.2069567941251231,0.4863920780831169,0.5440062855277811,0.4861702225791527,0.0785829045820073,0.5009891593038636,0.5604679621649126,0.3245807669636679
3,TIM_THETH,mean,8M,4,11,0.1191097217245876,0.5173672479062305,0.5717560673282575,0.4184118740055335,0.1304749641633054,0.5018327859522099,0.5536440725992826,0.4239733809446518
4,TIM_THETH,mean,8M,5,24,0.2107866504079077,0.4781329488650433,0.5360742924215484,0.4961888894824971,0.1851277931462678,0.4932425397507499,0.5566199256941293,0.4545607880760191
0,BLAT_ECOLX_Ranganathan2015,mean,8M,1,10,0.1230281772691326,0.977012300363559,1.077228934915803,0.3596171760435379,0.1160318900187219,0.9856199873563752,1.0868526249778243,0.3446359974842797
1,BLAT_ECOLX_Ranganathan2015,mean,8M,2,14,0.1326384449592614,0.9757159317169448,1.076908427229784,0.3656944325239061,0.1219491479750519,0.9567767169085076,1.0608949344919243,0.346437770451759
2,BLAT_ECOLX_Ranganathan2015,mean,8M,3,16,0.1519824776197205,0.9568322975085944,1.05967636267251,0.3838593870594489,0.1348909905054597,0.9651107904494608,1.0739256006184572,0.3627522481224386
3,BLAT_ECOLX_Ranganathan2015,mean,8M,4,15,0.135084009155216,0.971369891565551,1.0736878569711148,0.3730791112403331,0.1472565506804719,0.9539659178280976,1.0518428367210717,0.3672071209811293
4,BLAT_ECOLX_Ranganathan2015,mean,8M,5,14,0.1288235350884767,0.9667825643000162,1.0693391981763152,0.3664931199929765,0.120122977268226,1.002631723109852,1.1007365145186006,0.3702857395271069
0,DLG4_RAT_Ranganathan2012,mean,150M,1,71,0.5716923116589729,0.1750452201080639,0.2580644339055795,0.6447335724224803,0.5690143213248054,0.1833080455573946,0.2705877686322847,0.6684911222356438
1,DLG4_RAT_Ranganathan2012,mean,150M,2,69,0.5676013527613419,0.1750851549220724,0.2575519819694931,0.6447697365909554,0.5573792751059905,0.1922582675806279,0.280411259530064,0.6512626311721464
2,DLG4_RAT_Ranganathan2012,mean,150M,3,45,0.505382890470413,0.1925085270971565,0.2838362775649277,0.6084151391864431,0.4640416154296074,0.1895907708528514,0.2733983046792719,0.5560940202537156
