,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Sample_size,Dataset
0,esm1v_650M,1,0.6766376496379695,0.530215978716947,0.6316635971425998,-0.540405653048478,1.1106452850979611,1.3010453157273918,0.8353846153846154,0.2857142857142857,10,32,BLAT_ECOLX_2015
1,esm1v_650M,2,0.9854538094148476,0.1154153487634771,0.1412770718513392,-1.335611158508212,1.0064189443757412,1.3279965837029115,0.9730769230769232,0.0,24,32,BLAT_ECOLX_2015
2,esm1v_650M,3,0.7757466978097454,0.4517953707024963,0.543608761823792,0.569934476304552,0.4321066074836603,0.64713197616117,0.8953846153846153,0.942857142857143,12,32,BLAT_ECOLX_2015
3,esm1v_650M,4,-2.220446049250313e-15,0.9356652423076924,1.0401199974104078,-0.0001398175350861,1.286014020255595,1.4221270892547109,,,0,32,BLAT_ECOLX_2015
4,esm1v_650M,5,0.9936609739680984,0.0715093882736094,0.0896302396780472,-0.1672531311910428,1.0413922992621054,1.190601442907998,0.9685470085470086,0.4857142857142857,29,32,BLAT_ECOLX_2015
5,esm1v_650M,1,0.303396038941824,0.766305698050195,0.8630626504874385,-0.2579546169507625,1.2355270364556152,1.373933759099501,0.6475386779184247,-0.1578947368421052,7,100,BLAT_ECOLX_2015
6,esm1v_650M,2,0.7551744491079435,0.4581157403295689,0.557196132055039,0.0636650585440679,0.8792429511468673,0.9821808986932066,0.8468823253633382,0.4270676691729323,30,100,BLAT_ECOLX_2015
7,esm1v_650M,3,0.4672403961851868,0.7344301018946917,0.8272680630825551,0.075105305205506,0.808325118204692,0.931750170734793,0.7347398030942335,0.3278195488721804,17,100,BLAT_ECOLX_2015
8,esm1v_650M,4,0.330972512241813,0.7858562046112423,0.8807975648560021,0.0209668840394424,1.0807378609045943,1.1243873154866704,0.6942803563056728,0.2661654135338345,18,100,BLAT_ECOLX_2015
9,esm1v_650M,5,0.6373817952609777,0.586526256919323,0.6853142977094084,-0.1058143290958628,0.8225433855766511,1.009851292435204,0.7540787623066104,0.2616541353383458,16,100,BLAT_ECOLX_2015
