,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Sample_size,Dataset,ModelSize
17,esm1v,3,0.8367370098135678,0.3721127775747558,0.4657414208305998,0.6099738370335455,0.5668218985450264,0.7297953263963862,0.8904029724806679,0.7827915697892449,263,1000,BLAT_ECOLX_2015,650M
18,esm1v,4,0.8304283912017199,0.3797536023332404,0.4771520098749534,0.5277914376704865,0.6020529381389257,0.7863842518597884,0.8955392634414682,0.733303832595815,243,1000,BLAT_ECOLX_2015,650M
19,esm1v,5,0.8244642909097935,0.3821295862110746,0.4817597770315989,0.6130008208686206,0.5738581524226398,0.7335920660700138,0.8844900217127927,0.7913012825320633,250,1000,BLAT_ECOLX_2015,650M
20,esm1v,1,0.8131467328954884,0.3902546493058379,0.4947327822594594,0.7315824904807531,0.474068186979571,0.5995888972630675,0.8932156809102146,0.8450063222468004,514,3200,BLAT_ECOLX_2015,650M
21,esm1v,2,0.8315657999813646,0.3729977794473865,0.4709195433122223,0.718809101410022,0.4689891358946477,0.6075292981775782,0.9006129066111818,0.8445334669854022,565,3200,BLAT_ECOLX_2015,650M
22,esm1v,3,0.8398571369235391,0.3609969981169392,0.4601263400098334,0.6865326867061974,0.4932264370750189,0.6357752567627416,0.9025378274313056,0.8332382631942367,576,3200,BLAT_ECOLX_2015,650M
23,esm1v,4,0.8377039774216514,0.361814405092781,0.4623260922099008,0.7074958549326317,0.4829876938678611,0.6192399447626566,0.9020347775330846,0.8459355169481952,578,3200,BLAT_ECOLX_2015,650M
24,esm1v,5,0.8244560699590453,0.3761498683493069,0.4801638386865782,0.6839048368284597,0.5194959839338977,0.647014007924885,0.8943134890527439,0.8380273360916098,509,3200,BLAT_ECOLX_2015,650M
25,esm1v,1,0.8355031284447054,0.3637897501691324,0.4676249188850975,0.7608843922963585,0.4336694698138515,0.5600042555680811,0.9018499166526778,0.8577306178293737,745,4996,BLAT_ECOLX_2015,650M
26,esm1v,2,0.8353335963798567,0.3620915230742066,0.4669491750239836,0.7352295156627772,0.4544174286183456,0.5936728702695311,0.899832307439316,0.8639080306427634,744,4996,BLAT_ECOLX_2015,650M
27,esm1v,3,0.8304854166979843,0.3710593280272265,0.4738334341026057,0.7624509850030837,0.4347007815799719,0.5625586970408386,0.8989956590800016,0.8672916887078101,712,4996,BLAT_ECOLX_2015,650M
28,esm1v,4,0.8328356354697151,0.366213290484925,0.4713145804212204,0.732508188880057,0.4601585825005104,0.5929396533019278,0.901002648049874,0.854945025450203,711,4996,BLAT_ECOLX_2015,650M
29,esm1v,5,0.8375505237413248,0.3566460328034904,0.4636189754923263,0.73425628655976,0.4626483977176276,0.5961858024966268,0.9013397241131668,0.8587057762545021,752,4996,BLAT_ECOLX_2015,650M
30,esm2,1,-4.440892098500626e-16,0.960442604470132,1.1108134323135876,-0.2866518006730083,1.1132966189068605,1.189064429731006,,,0,32,BLAT_ECOLX_2015,8M
31,esm2,2,2.220446049250313e-16,1.0693980571554835,1.171377959941492,-0.1631544363360582,0.7811847399838693,0.937163526220174,,,0,32,BLAT_ECOLX_2015,8M
32,esm2,3,0.0,1.0438790575,1.147934278589338,-0.0333500379565545,0.8294014100018922,1.0031116524268109,,,0,32,BLAT_ECOLX_2015,8M
33,esm2,4,-2.220446049250313e-15,0.9356652423076924,1.0401199974104078,-0.0001398175350861,1.286014020255595,1.4221270892547109,,,0,32,BLAT_ECOLX_2015,8M
34,esm2,5,-2.220446049250313e-16,0.9797949662152616,1.1257534592078724,-0.0043243991394759,1.1003654035,1.1043859872136617,,,0,32,BLAT_ECOLX_2015,8M
35,esm2,1,0.3243393757673818,0.7297298579665158,0.8499896899383513,-0.2088054874401386,1.2036386409077484,1.3468260861609986,0.6381622128457571,0.2511278195488721,14,100,BLAT_ECOLX_2015,8M
36,esm2,2,0.6267105061900728,0.5768072842317123,0.6880224450142707,-0.1997136830880514,0.9691023377890792,1.1117692929681264,0.7941397093295828,0.1609022556390977,28,100,BLAT_ECOLX_2015,8M
37,esm2,3,0.5573374736639751,0.6461243108596536,0.7540792562695154,-0.4971467117339831,1.03641337093887,1.1854562132229165,0.7472339428035631,0.037593984962406,20,100,BLAT_ECOLX_2015,8M
38,esm2,4,0.7518567514481181,0.4333610308848404,0.5364204871236445,-0.6398681259001764,1.0650698957304687,1.4551967254599714,0.8726207219878106,-0.0601503759398496,37,100,BLAT_ECOLX_2015,8M
39,esm2,5,0.1703238388587794,0.953182443571604,1.036619315290343,0.0550640982921164,0.8172525090331726,0.9335068173605038,0.4741912798874824,0.2345864661654134,6,100,BLAT_ECOLX_2015,8M
40,esm2,1,0.6514275076233855,0.5849828926727147,0.7039790310585905,0.1888710928587142,0.8748374572021084,1.0487339548299504,0.8122079588092296,0.428617216117216,70,320,BLAT_ECOLX_2015,8M
41,esm2,2,0.7224397045169322,0.4992110793100702,0.6164834277366674,0.2140226733999911,0.9133273557154884,1.1028605409154508,0.8432058328575452,0.5343864468864469,88,320,BLAT_ECOLX_2015,8M
42,esm2,3,0.5761903400015744,0.6421983004937453,0.7737548963537331,0.2189064453178013,0.8717459231392002,1.0340080267158702,0.7733261139036324,0.460576923076923,60,320,BLAT_ECOLX_2015,8M
43,esm2,4,0.700735103457053,0.5453884506181106,0.6590286883363238,0.3858161048291144,0.7153729570278551,0.8719525207432374,0.8262594603025261,0.666620879120879,85,320,BLAT_ECOLX_2015,8M
44,esm2,5,0.5972827313773164,0.6338070465664957,0.7473431422415768,0.4092815327208348,0.7580472094124966,0.9371883667267824,0.7749436325073854,0.678113553113553,67,320,BLAT_ECOLX_2015,8M
45,esm2,1,0.4688226171454637,0.719262242517743,0.8460627905283592,0.2584794422494618,0.8171358706256103,0.9774134636970668,0.6893739235577669,0.5153808277885414,112,1000,BLAT_ECOLX_2015,8M
