,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Compression_method,Dataset,Dataset_Name,ModelSize,parameters,dataset_size,group,prot_length
37,esm1v,3,0.838184066585498,0.1073395717335043,0.1449322070008517,0.6932700365060345,0.1656869420187864,0.2078902799824392,0.8850687390298463,0.823340106263488,285,mean,PABP_YEAST_Fields2013_singles,PABP singles,650M,650000000.0,1187,Growth,577
38,esm1v,4,0.8113867128882195,0.1218089689393885,0.1601598201223342,0.6772003487199274,0.147518509021572,0.1956237131714816,0.8757450339311534,0.7599840622797069,239,mean,PABP_YEAST_Fields2013_singles,PABP singles,650M,650000000.0,1187,Growth,577
39,esm1v,5,0.6014649025801226,0.185358580413565,0.2317332159227951,0.5912922754793899,0.1817135907799866,0.2245347151600473,0.7698437123769444,0.714743653307708,67,mean,PABP_YEAST_Fields2013_singles,PABP singles,650M,650000000.0,1187,Growth,577
40,esm1v,1,0.4093652194822945,0.3770042633816313,0.4680114596857172,0.3754409552610831,0.398632291568203,0.4835943762065956,0.6586442344235293,0.6342823216098935,36,mean,TIM_SULSO,TIM SULSO,650M,650000000.0,1519,Growth,248
41,esm1v,2,0.3968972697018911,0.3873798238553405,0.4759395175445221,0.3787685086330721,0.3774091707471492,0.4705852192595879,0.6585175624093975,0.5991658052776805,38,mean,TIM_SULSO,TIM SULSO,650M,650000000.0,1519,Growth,248
42,esm1v,3,0.44382126104456,0.3667633831379915,0.4530515260338542,0.3910213559953214,0.3737968957767445,0.4826905050531063,0.676701587818236,0.6708574308681947,46,mean,TIM_SULSO,TIM SULSO,650M,650000000.0,1519,Growth,248
43,esm1v,4,0.390608344840636,0.3900504243667599,0.4781371656663115,0.3131846964578891,0.4094310097336636,0.4960920421270433,0.645245645385675,0.5855530117291281,34,mean,TIM_SULSO,TIM SULSO,650M,650000000.0,1519,Growth,248
44,esm1v,5,0.408338337618332,0.379561382526161,0.4667874228479213,0.3726220479494365,0.4043409393340141,0.4920729116839559,0.6652015270757721,0.5995184957673181,41,mean,TIM_SULSO,TIM SULSO,650M,650000000.0,1519,Growth,248
45,esm1v,1,0.3870587018935115,0.2206558931741805,0.2931600350971725,0.33354335211802,0.2354048482078255,0.3108542595398898,0.5909203764556986,0.5472765642874157,130,mean,TPMT_HUMAN_Fowler2018,TPMT HUMAN,650M,650000000.0,3984,Protein stability,245
46,esm1v,2,0.4006046970127987,0.221633128564029,0.2952530746295167,0.3609286553126722,0.2121427941497858,0.2816813998983656,0.5985733657064232,0.5810527434225172,154,mean,TPMT_HUMAN_Fowler2018,TPMT HUMAN,650M,650000000.0,3984,Protein stability,245
47,esm1v,3,0.4036622113112057,0.2164818462146454,0.287140011791508,0.3170414206100562,0.2372651085980037,0.3227525724462011,0.6050221197920693,0.5389909112537542,146,mean,TPMT_HUMAN_Fowler2018,TPMT HUMAN,650M,650000000.0,3984,Protein stability,245
48,esm1v,4,0.3782526386796816,0.2237717197125355,0.2981798427647164,0.3257708391275697,0.231550103465679,0.300138988395673,0.5867957847119424,0.5133539946738382,131,mean,TPMT_HUMAN_Fowler2018,TPMT HUMAN,650M,650000000.0,3984,Protein stability,245
49,esm1v,5,0.3692262149449368,0.2228102536623767,0.2960952564387336,0.3635322904863841,0.2342188590156007,0.3089544985644206,0.5844963154685711,0.5626794927946658,118,mean,TPMT_HUMAN_Fowler2018,TPMT HUMAN,650M,650000000.0,3984,Protein stability,245
50,esm1v,1,0.4864657549529225,0.1992816586047921,0.2701325388623565,0.4685534043549048,0.2049605641437992,0.2829962982350544,0.7384564972626826,0.7361357738423767,177,mean,AMIE_PSEAE_Whitehead,AMIE PSEAE,650M,650000000.0,6568,Enzyme function,346
51,esm1v,2,0.5152299056329299,0.1936021793631793,0.2644881205728842,0.4598341162246082,0.2040096442788794,0.276700476606884,0.7525269153303333,0.7210910105997389,194,mean,AMIE_PSEAE_Whitehead,AMIE PSEAE,650M,650000000.0,6568,Enzyme function,346
52,esm1v,3,0.5255234939176829,0.1898809990702085,0.2588606529115341,0.4312209476538187,0.2169763190225923,0.2960931846387895,0.7554289222074991,0.7169699403195594,213,mean,AMIE_PSEAE_Whitehead,AMIE PSEAE,650M,650000000.0,6568,Enzyme function,346
53,esm1v,4,0.5006813357330451,0.1987766942928077,0.2700769504394893,0.4482993534359711,0.1983241095550534,0.2726899617188886,0.7449432886841485,0.7041015222885829,181,mean,AMIE_PSEAE_Whitehead,AMIE PSEAE,650M,650000000.0,6568,Enzyme function,346
54,esm1v,5,0.4913795754212618,0.1996704106488214,0.2719414429721116,0.4580341744071962,0.2016983310726337,0.2730111230525304,0.7383919986831201,0.7115815683992105,181,mean,AMIE_PSEAE_Whitehead,AMIE PSEAE,650M,650000000.0,6568,Enzyme function,346
55,esm1v,1,0.5682080677126765,0.6326630982312097,0.7558793000789255,0.5338129770393838,0.6591557308851906,0.7892824565689325,0.7808491483443079,0.7556031596031597,94,mean,BLAT_ECOLX_Ranganathan2015,BLAT ECOLX 2015,650M,650000000.0,4996,Growth,286
56,esm1v,2,0.6326624060893605,0.5747766081306932,0.700827895044329,0.5967294444051621,0.5904460030380133,0.7189700480014173,0.8113354344309206,0.7920738293403623,142,mean,BLAT_ECOLX_Ranganathan2015,BLAT ECOLX 2015,650M,650000000.0,4996,Growth,286
57,esm1v,3,0.5877466825892073,0.6139325397289954,0.7388442767191692,0.5780724270041199,0.6196110726610818,0.7499939009307571,0.7902601140051738,0.7848342209945415,108,mean,BLAT_ECOLX_Ranganathan2015,BLAT ECOLX 2015,650M,650000000.0,4996,Growth,286
58,esm1v,4,0.559682890666627,0.6424170493192346,0.766079531317961,0.5450826005507761,0.6495771335571869,0.7682594864513295,0.776309127575829,0.7590754000493478,88,mean,BLAT_ECOLX_Ranganathan2015,BLAT ECOLX 2015,650M,650000000.0,4996,Growth,286
