,Model,Fold,R2_score_train,MAE_score_train,RMSE_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_train,rho_score_test,nun_zero_coefs,Sample_size
0,esm1v_650M,1,0.5008958874773756,0.2621255130326886,0.3016044035407805,-0.5282763484447692,0.5470086076040394,0.573769043838896,0.7939817320366598,-0.4334607234315054,6,32
1,esm1v_650M,2,4.9258758405557046e-08,0.4300865893287212,0.4499118159391958,-0.0459650871583516,0.4182396547424972,0.4376284727819127,0.3089317648902265,-0.4786344211304794,1,32
2,esm1v_650M,3,0.0,0.4307490444849551,0.4523454338454871,-0.0008437190893275,0.3835740049618796,0.4219799170998892,,,0,32
3,esm1v_650M,4,-1.7763568394002505e-15,0.4274609625279805,0.4448312954200323,-0.20446305681785,0.4485420981153609,0.4626722479665735,,,0,32
4,esm1v_650M,5,-2.220446049250313e-16,0.4301737575061466,0.4539136666080797,-0.0003974023720847,0.3870640611740452,0.4145998856687832,,,0,32
5,esm1v_650M,1,0.5911546213536237,0.2277700644947183,0.281269659165248,0.2839527600502127,0.2913431383154424,0.3862512363695667,0.7491188848517435,0.4929962047850632,22,100
6,esm1v_650M,2,0.6977211907819914,0.1953096344399432,0.2456640014894962,0.1110757880881385,0.3191635973305783,0.4041591272533106,0.6861527698637246,0.4484977187831159,23,100
7,esm1v_650M,3,0.5711529158970545,0.2466322729302336,0.2950446882247494,0.3207043425752583,0.2548308901713962,0.337608888028069,0.7399169912238568,0.4603806363992549,18,100
8,esm1v_650M,4,0.6549649631852994,0.2100053346886674,0.2589723818751228,0.1858012784192489,0.3487588331827704,0.4083459369161605,0.7983550220312384,0.2971692733634847,22,100
9,esm1v_650M,5,0.4838515262047469,0.2617284118208373,0.3144573670926356,0.3522606359679815,0.2963647394209968,0.3716718297379593,0.6979591631186591,0.556196218350118,10,100
10,esm1v_650M,1,0.6935674608764697,0.2032321942841244,0.2559143300648381,0.4904939809175951,0.2371521197343741,0.3255069443294821,0.7991121857156385,0.5916729227538886,55,320
11,esm1v_650M,2,0.7988702174892626,0.1567549725446536,0.2081616824718687,0.3488932808946803,0.2829326878641723,0.3638759617691487,0.8358763047735526,0.6082326332750508,77,320
12,esm1v_650M,3,0.7504443290206874,0.1761408237468249,0.2315597505467041,0.4535724986401717,0.2613792225927812,0.3263370919676716,0.8082722962066411,0.6026335544426291,67,320
13,esm1v_650M,4,0.6936723617580907,0.1943324213914332,0.2523438620804443,0.5288336016907926,0.2474789120956534,0.3182549861161552,0.764603635454349,0.7721502778600986,52,320
14,esm1v_650M,5,0.7198488996987169,0.1906471924000563,0.2435727867228928,0.5182358993209555,0.2418425884271043,0.3234608226882853,0.7913656684537607,0.6964926156087102,57,320
15,esm1v_650M,1,0.7749578738783676,0.1651382641631819,0.2134347247084606,0.6454767557665086,0.200769396957789,0.2722680982846232,0.8118092883737804,0.7630295767775414,159,1000
16,esm1v_650M,2,0.7507661328902174,0.1753054678946136,0.2256823640884558,0.5922160888279117,0.2141198603257041,0.2865090231233199,0.8029291471895615,0.743133445997094,125,1000
17,esm1v_650M,3,0.77215207466758,0.1643210234074599,0.2165835168979455,0.6283080188245513,0.2064581691597891,0.2665107968559546,0.8182324358008962,0.707489737707379,152,1000
18,esm1v_650M,4,0.7294378084809929,0.1821521436911324,0.2351122799797144,0.7365456866917184,0.1804928475629092,0.2301225474712352,0.7849346664914846,0.7889918730254128,147,1000
19,esm1v_650M,5,0.785165033965722,0.1586352586059398,0.2083356789906754,0.5467691012328557,0.2443725515168789,0.3076046499395833,0.8084375016733588,0.7182437226154323,145,1000
20,esm1v_650M,1,0.8060272597453197,0.1539165045979344,0.1995937786328115,0.657379259357874,0.1924056939348138,0.2606524322333462,0.8257156654294489,0.7769144151645266,397,3200
21,esm1v_650M,2,0.7710845716414205,0.1658520960785535,0.2158361752149029,0.6765829618884621,0.190630509509014,0.2579785385053365,0.8185279556316503,0.7851765032998015,272,3200
22,esm1v_650M,3,0.7743590146532258,0.1663422437970211,0.2145627892595594,0.7141998593130073,0.1849589180585804,0.2413113352628562,0.8203331780544578,0.7964521976542345,294,3200
23,esm1v_650M,4,0.7980207636715951,0.1561589616981854,0.2030975648697418,0.6876833677967082,0.1872603360368141,0.2518176297114303,0.8298044811264025,0.7765619137612186,403,3200
24,esm1v_650M,5,0.8148098887780931,0.1470675449349716,0.1937806718380676,0.7098700710134129,0.185251508630886,0.2459794188051274,0.8307342909526879,0.7914308889014213,535,3200
25,esm1v_650M,1,0.77799629353579,0.1622736887177633,0.2111611603551129,0.7316806862216346,0.1749783436235215,0.2347346529804578,0.8266463305997778,0.8093951943021996,559,10000
26,esm1v_650M,2,0.7769604936552008,0.1628131437892344,0.2122565921355823,0.72306618361493,0.1771188456059443,0.2359002664900037,0.828198454792032,0.8085415789259386,552,10000
27,esm1v_650M,3,0.7763193210292949,0.1624126479790935,0.2125264297126969,0.7317827521760483,0.1799703884859775,0.2323239148801443,0.8302649483757666,0.8107115721247691,537,10000
28,esm1v_650M,4,0.7744784529544042,0.163223305553103,0.2128714049537798,0.7438201193584868,0.173866593611265,0.2291615638064829,0.8254255175540663,0.8216814799688008,558,10000
29,esm1v_650M,5,0.7762568435380752,0.1635713201855293,0.2132463965400481,0.741452190980384,0.1713328093413819,0.2249476643862836,0.8292840887247406,0.8061472507714144,556,10000
30,esm1v_650M,1,0.7600298735485811,0.1672002479804122,0.2194062417750361,0.7362804043038597,0.1745612512155216,0.2317749546408253,0.8210941862291007,0.8177229020790566,515,32000
31,esm1v_650M,2,0.7569756430640266,0.1684048427738458,0.2215837802868268,0.7500301425056439,0.1707393429438554,0.2223961151874282,0.8215212617556008,0.8146982106697972,524,32000
32,esm1v_650M,3,0.7588348869856717,0.1677163703805192,0.2203664128048041,0.7396387533593902,0.1735145507165029,0.2286146225236338,0.8221343376987229,0.8136078982163908,504,32000
33,esm1v_650M,4,0.7566411793719887,0.1685164351198423,0.2211500223283625,0.7512883866148363,0.1693994325319053,0.224316142143028,0.820970224286981,0.8216812345804713,546,32000
34,esm1v_650M,5,0.7580779485976202,0.1679955119307004,0.2206353884463257,0.7471477772067658,0.1711657877527619,0.2256073138496208,0.8221403391585098,0.8152180474744833,514,32000
35,esm1v_650M,1,0.7499532347038211,0.1705991302156452,0.2244853901225229,0.74467507487451,0.171692551501349,0.2262769728216409,0.8176027526220322,0.8150680969928569,510,100000
36,esm1v_650M,2,0.7501270162771851,0.1705404473086398,0.2243875133257742,0.7453499507044162,0.1716916149909055,0.2260634939072996,0.8179087394462399,0.8144150225731537,516,100000
37,esm1v_650M,3,0.7503090977529708,0.1703398268090152,0.2241487818405603,0.7450181746092406,0.1718410165424602,0.2268464820304488,0.8178134190888449,0.8148201498534516,506,100000
38,esm1v_650M,4,0.7499760082468596,0.1708310687097578,0.2244181699749854,0.7454449661983057,0.1716669028150022,0.2261745665968661,0.8171119623968452,0.8195778470669575,508,100000
39,esm1v_650M,5,0.7492323474127626,0.1706684234532254,0.2245104175565797,0.7486828758165747,0.1720109734772024,0.225686916128468,0.8180602043957959,0.8163288610915801,506,100000
40,esm1v_650M,1,0.7465609489294063,0.1719313192187702,0.2259244595717301,0.7473191158697204,0.1721885438276286,0.2258783833816642,0.8157603176979269,0.8180375035488499,496,320000
41,esm1v_650M,2,0.7476333771923324,0.1717555345541935,0.2255692164889143,0.7447584764275786,0.1722474941987256,0.2265259875240754,0.816591855774656,0.8142010591202812,478,320000
42,esm1v_650M,3,0.747126201580208,0.1718906280395997,0.2257657913826431,0.7452042589518298,0.172210354764911,0.2264506590057147,0.8164999138015643,0.8136436251488627,492,320000
43,esm1v_650M,4,0.7470695021951683,0.17175940884557,0.2257069356656146,0.7461845284812887,0.1726219659935213,0.2263511430953064,0.8158926695550757,0.817982390079828,485,320000
44,esm1v_650M,5,0.7469819331544341,0.171979279886097,0.2258066093199954,0.7459949166588521,0.1716842551023238,0.2261921805268093,0.8164770961634337,0.8149012427002198,488,320000
45,esm1v_650M,1,0.7461846492727283,0.1722876103532248,0.2262937426663785,0.7461838571253802,0.1719914971935215,0.2258818329138281,0.816833032383198,0.813961068485348,487,496137
46,esm1v_650M,2,0.746497361432984,0.1722715462124312,0.2261814893150941,0.7451353696298961,0.172141175308274,0.2262363786280505,0.8169311168732157,0.8145914647613276,483,496137
47,esm1v_650M,3,0.7465100363742643,0.1720747504913686,0.2259985881417123,0.7445066456424947,0.1729751217622226,0.2272267293102964,0.8157252974412004,0.8187507466305843,485,496137
48,esm1v_650M,4,0.7462138666270199,0.1720895839680382,0.2261211550369822,0.7468272915912912,0.1724449041879749,0.2262340236518377,0.8162632992103473,0.817008593396228,475,496137
49,esm1v_650M,5,0.7464586666551468,0.1720986496797065,0.2260436246001251,0.7453994018809715,0.1723422259033475,0.2267456699522515,0.8163594814474052,0.8162744529132178,485,496137
50,esm2_8M,1,0.1615283783004931,0.3510976480079123,0.3909185580076227,-0.3605482012326975,0.5108991643822659,0.5413686884969161,0.57701708635769,-0.4334607234315054,1,32
51,esm2_8M,2,0.1614860202576276,0.3951564543170482,0.4119860999697584,-0.1952453760652812,0.4381534558676149,0.4678164746957691,0.6261589750492598,-0.6666937223947136,2,32
52,esm2_8M,3,0.0748553180847845,0.4135649657915652,0.4350859299589071,0.0176649092552243,0.3893915971058919,0.4180598664598096,0.5051718744427826,0.2319084142609793,1,32
