Epoch,step,train_loss,train_r2,val_loss,val_r2,Model,Dataset_Name,ModelSize
22,3959,0.0747818201780319,0.4671512246131897,0.097556822001934,0.3465999364852905,esm2_8M,SUMO1 HUMAN,8M
15,5969,0.0909203290939331,0.3508606553077698,0.0850395932793617,0.4114695787429809,esm2_8M,TPMT HUMAN,8M
8,5255,0.1243374124169349,0.1248837113380432,0.1205105632543563,0.2013929486274719,esm2_8M,AMIE PSEAE,8M
18,12257,1.1791229248046875,0.0943138599395752,1.2009176015853882,0.0774158239364624,esm2_8M,MK01 HUMAN,8M
28,8763,0.0331636369228363,0.6440130472183228,0.0328828170895576,0.6253244280815125,esm2_8M,RASH HUMAN,8M
29,12266,0.0544578246772289,0.465322196483612,0.0515551567077636,0.4656757712364197,esm2_8M,PTEN HUMAN,8M
18,2735,0.2451970428228378,0.338339626789093,0.222652405500412,0.4053813815116882,esm2_8M,TIM SULSO,8M
27,4481,0.0563637614250183,0.6372650265693665,0.0599028207361698,0.6506872773170471,esm2_8M,DLG4 RAT,8M
22,24815,1.0414472818374634,0.3774751424789428,0.940730631351471,0.464945912361145,esm2_8M,HG FLU,8M
1,349,0.8557282090187073,-0.0799726247787475,0.7184205651283264,0.0010204315185546,esm2_8M,BG STRSQ,8M
29,3682,0.0282173585146665,0.7410730123519897,0.0611824095249176,0.5692318081855774,esm2_8M,RL401 2013,8M
24,19367,0.0945386290550232,0.0986496806144714,0.0915364399552345,0.122667372226715,esm2_8M,B3VI55 LIPST,8M
5,979,0.1383372396230697,-0.0944085121154785,0.1323752254247665,0.0091742873191833,esm2_8M,CALM1 HUMAN,8M
24,3431,0.0603893063962459,0.6416960954666138,0.0576773732900619,0.6025887131690979,esm2_8M,RL401 2014,8M
18,8171,0.0482200682163238,0.6089602708816528,0.045320700854063,0.6216790676116943,esm2_8M,HSP82 YEAST,8M
13,4445,0.2761372923851013,0.0392343401908874,0.2625247538089752,0.0544816255569458,esm2_8M,TPK1 HUMAN,8M
36,19691,0.1004901751875877,0.509671688079834,0.093908853828907,0.5585513114929199,esm2_8M,BLAT ECOLX 2014,8M
12,3107,0.2855570316314697,-0.0238418579101562,0.2585643529891968,-0.0022816658020019,esm2_8M,PA FLU,8M
13,467,0.3623440265655517,0.0133270621299743,0.2163802981376648,0.1959099769592285,esm2_8M,YAP1 singles,8M
31,15468,0.5299800038337708,0.5996323823928833,0.5253225564956665,0.6068835258483887,esm2_8M,BLAT ECOLX 2015,8M
14,7307,0.6444999575614929,0.2854557037353515,0.5681236386299133,0.3363223671913147,esm2_8M,KKA2 KLEPN,8M
4,395,3.952000379562378,-0.0294995307922363,3.749986886978149,0.0007980465888977,esm2_8M,BLAT ECOLX 2013,8M
14,2491,0.1333612650632858,0.0076784491539001,0.1242237538099289,0.0732587575912475,esm2_8M,MTH3 HAEAESTABILIZED,8M
15,1979,0.0227100886404514,0.3486039042472839,0.0172343924641609,0.5101763606071472,esm2_8M,RL401 2016,8M
10,1439,0.0364707447588443,0.5513372421264648,0.0355424731969833,0.4991183876991272,esm2_8M,IF1 ECOLI,8M
32,4863,0.1271078139543533,0.6462025046348572,0.1332233548164367,0.663878858089447,esm2_8M,TIM THETH,8M
9,8270,0.0015848863404244,0.923329532146454,0.0006605608505196,0.9602036476135254,esm2_8M,parEparD all,8M
27,3212,0.0473325178027153,0.6474066376686096,0.0478533059358596,0.6174992322921753,esm2_8M,PABP singles,8M
36,18935,1.377514123916626,0.4661357402801513,1.430686593055725,0.431225836277008,esm2_8M,BLAT ECOLX 2012,8M
22,18325,0.2185463905334472,0.1799734234809875,0.1989215910434723,0.2533280253410339,esm2_8M,B3VI55 LIPSTSTABLE,8M
19,2887,0.2244662791490554,0.4056864380836487,0.1808923631906509,0.4642528295516968,esm2_8M,TIM THEMA,8M
4,1399,0.8114446997642517,-0.024084448814392,0.719356894493103,-0.0002814531326293,esm2_35M,BG STRSQ,35M
21,16946,0.0927912667393684,0.1152273416519165,0.0895667821168899,0.1415454745292663,esm2_35M,B3VI55 LIPST,35M
16,575,0.3409552574157715,0.0053858160972595,0.1940246224403381,0.2789857983589172,esm2_35M,YAP1 singles,35M
22,4311,0.1202176660299301,0.0486435890197753,0.1235720664262771,0.0750659108161926,esm2_35M,CALM1 HUMAN,35M
20,2859,0.0660202950239181,0.6111273765563965,0.0456760562956333,0.6852807402610779,esm2_35M,RL401 2014,35M
7,4766,1.3027465343475342,-0.0007826089859008,1.2331963777542114,0.0526182651519775,esm2_35M,MK01 HUMAN,35M
12,1523,0.0525191687047481,0.5183019638061523,0.0680937245488166,0.5205711126327515,esm2_35M,RL401 2013,35M
36,15227,0.0443327911198139,0.5646616220474243,0.0448666624724864,0.5349961519241333,esm2_35M,PTEN HUMAN,35M
1,98,4.005776882171631,-0.0443696975708007,3.752256393432617,0.000193178653717,esm2_35M,BLAT ECOLX 2013,35M
25,13049,0.4998326897621155,0.4459850788116455,0.5045424699783325,0.4105973839759826,esm2_35M,KKA2 KLEPN,35M
18,2735,0.175147533416748,0.5121573805809021,0.1482714563608169,0.6259126663208008,esm2_35M,TIM THETH,35M
22,3167,0.0161935854703187,0.8007512092590332,0.0312582962214946,0.5594931244850159,esm2_35M,IF1 ECOLI,35M
40,45119,0.7117351293563843,0.5746271014213562,0.7520115375518799,0.572282612323761,esm2_35M,HG FLU,35M
31,3688,0.0397539213299751,0.703313410282135,0.0420949384570121,0.6635270118713379,esm2_35M,PABP singles,35M
